faction_id|name|id|type|cp_cost|turn|phase|detachment|detachment_id|description|timing|effects_json
AS|RIGHTEOUS BLOWS|righteous-blows-bringers-of-flame|Bringers of Flame – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Bringers of Flame|bringers-of-flame|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|RITES OF FIRE|rites-of-fire-bringers-of-flame|Bringers of Flame – Battle Tactic Stratagem|1|Your turn|Shooting phase|Bringers of Flame|bringers-of-flame|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|CLEANSING FLAMES|cleansing-flames-bringers-of-flame|Bringers of Flame – Battle Tactic Stratagem|2|Your turn|Shooting phase|Bringers of Flame|bringers-of-flame|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|BLAZING IRE|blazing-ire-bringers-of-flame|Bringers of Flame – Battle Tactic Stratagem|2|Opponent's turn|Shooting phase|Bringers of Flame|bringers-of-flame|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|CARRY FORTH THE FAITHFUL|carry-forth-the-faithful-bringers-of-flame|Bringers of Flame – Strategic Ploy Stratagem|1|Your turn|Movement phase|Bringers of Flame|bringers-of-flame|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SHIELD OF DENIAL|shield-of-denial-champions-of-faith|Champions of Faith – Battle Tactic Stratagem|1|Either player's turn|Any phase|Champions of Faith|champions-of-faith|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|TO THE HEART OF HERESY|to-the-heart-of-heresy-champions-of-faith|Champions of Faith – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Champions of Faith|champions-of-faith|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|PATH OF THE RIGHTEOUS|path-of-the-righteous-champions-of-faith|Champions of Faith – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Champions of Faith|champions-of-faith|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|BASTION OF FAITH|bastion-of-faith-champions-of-faith|Champions of Faith – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Champions of Faith|champions-of-faith|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SUFFER NOT THE UNFAITHFUL|suffer-not-the-unfaithful-champions-of-faith|Champions of Faith – Strategic Ploy Stratagem|1|Either player's turn|Shooting or Fight phase|Champions of Faith|champions-of-faith|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|INDEFATIGABLE DEDICATION|indefatigable-dedication-champions-of-faith|Champions of Faith – Strategic Ploy Stratagem|1|Your turn|Movement phase|Champions of Faith|champions-of-faith|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SHIELD OF FAITH|shield-of-faith-army-of-faith|Army of Faith – Battle Tactic Stratagem|1|Either player's turn|Any phase|Army of Faith|army-of-faith|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|LIGHT OF THE EMPEROR|light-of-the-emperor-army-of-faith|Army of Faith – Battle Tactic Stratagem|1|Either player's turn|Command phase|Army of Faith|army-of-faith|<b>WHEN:</b> Command phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|FAITH AND FURY|faith-and-fury-army-of-faith|Army of Faith – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Army of Faith|army-of-faith|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|DIVINE GUIDANCE|divine-guidance-army-of-faith|Army of Faith – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Army of Faith|army-of-faith|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|BLINDING RADIANCE|blinding-radiance-army-of-faith|Army of Faith – Strategic Ploy Stratagem|1|Either player's turn|Shooting or Fight phase|Army of Faith|army-of-faith|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|ANGELIC DESCENT|angelic-descent-army-of-faith|Army of Faith – Strategic Ploy Stratagem|1|Opponent's turn|Fight phase|Army of Faith|army-of-faith|<b>WHEN:</b> Opponent's Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|INSPIRATIONAL BATTLE CANTICLES|inspirational-battle-canticles-chorus-of-condemnation|Chorus of Condemnation Stratagem|1|Your turn|Command phase|Chorus of Condemnation|chorus-of-condemnation|<b>WHEN:</b> Your Command phase.<br><br><b>TARGET:</b> One ADEPTA SORORITAS unit from your army.<br><br><b>EFFECT:</b> The unit is marked as battle shocked. Applies to: units with Adepta Sororitas.|once-per-phase|
AS|HARMONISED EXORCISM|harmonised-exorcism-chorus-of-condemnation|Chorus of Condemnation Stratagem|1|Your turn|Shooting phase|Chorus of Condemnation|chorus-of-condemnation|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One EXORCIST unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, the unit gets +1 to Hit rolls. Applies to: units with Exorcist.|once-per-phase|[{"type":"plus_one_hit"}]
AS|DEVASTATING REPRISE|devastating-reprise-chorus-of-condemnation|Chorus of Condemnation Stratagem|1|Your turn|Shooting phase|Chorus of Condemnation|chorus-of-condemnation|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One ADEPTA SORORITAS INFANTRY FLY unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, the unit's weapons gain [DEVASTATING WOUNDS]. Applies to: units with Adepta Sororitas, Infantry, Fly.|once-per-phase|[{"type":"grant_devastating_wounds"}]
AS|SANCTIFIED BLOWS|sanctified-blows-sacred-champions|Sacred Champions Stratagem|1|Either player's turn|Fight phase|Sacred Champions|sacred-champions|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One CELESTIAN SACRESANTS unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase: Add 1 to the unit's Attacks characteristic (melee). Add 1 to the unit's Strength characteristic (melee). Applies to: units with Celestian Sacresants.|once-per-phase|[{"type":"plus_attacks","value":1,"scope":"melee"},{"type":"plus_strength_melee","value":1}]
AS|FAITHFUL FORTITUDE|faithful-fortitude-sacred-champions|Sacred Champions Stratagem|1|Either player's turn|Any phase|Sacred Champions|sacred-champions|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One CELESTIAN SACRESANTS unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, the unit has the Feel No Pain 5+ ability against mortal wounds. Applies to: units with Celestian Sacresants.|once-per-phase|[{"type":"grant_fnp_psychic_mortal","value":5}]
AS|UNFLINCHING DETERMINATION|unflinching-determination-sacred-champions|Sacred Champions Stratagem|1|Your turn|Movement phase|Sacred Champions|sacred-champions|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One CELESTIAN SACRESANTS unit from your army.<br><br><b>EFFECT:</b> Until the end of the turn: The unit's weapons gain [ASSAULT]. The unit gains the Act After Move ability. Applies to: units with Celestian Sacresants.|once-per-phase|
SM|ARMOUR OF CONTEMPT|armour-of-contempt-1st-company-task-force|1st Company Task Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|1st Company Task Force|1st-company-task-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|HEROES OF THE CHAPTER|heroes-of-the-chapter-1st-company-task-force|1st Company Task Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|1st Company Task Force|1st-company-task-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|LEGENDARY FORTITUDE|legendary-fortitude-1st-company-task-force|1st Company Task Force – Battle Tactic Stratagem|1|Opponent's turn|Charge phase|1st Company Task Force|1st-company-task-force|<b>WHEN:</b> Opponent's Charge phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|TERRIFYING PROFICIENCY|terrifying-proficiency-1st-company-task-force|1st Company Task Force – Strategic Ploy Stratagem|1|Your turn|Fight phase|1st Company Task Force|1st-company-task-force|<b>WHEN:</b> Your Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|DUTY AND HONOUR|duty-and-honour-1st-company-task-force|1st Company Task Force – Strategic Ploy Stratagem|1|Your turn|Movement phase|1st Company Task Force|1st-company-task-force|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ORBITAL TELEPORTARIUM|orbital-teleportarium-1st-company-task-force|1st Company Task Force – Strategic Ploy Stratagem|1|Opponent's turn|Fight phase|1st Company Task Force|1st-company-task-force|<b>WHEN:</b> Opponent's Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ARMOUR OF CONTEMPT|armour-of-contempt-1st-company-task-force|Gladius Task Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Gladius Task Force|gladius-task-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|HONOUR THE CHAPTER|honour-the-chapter-gladius-task-force|Gladius Task Force – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Gladius Task Force|gladius-task-force|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|STORM OF FIRE|storm-of-fire-gladius-task-force|Gladius Task Force – Battle Tactic Stratagem|1|Your turn|Shooting phase|Gladius Task Force|gladius-task-force|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ONLY IN DEATH DOES DUTY END|only-in-death-does-duty-end-gladius-task-force|Gladius Task Force – Epic Deed Stratagem|2|Either player's turn|Fight phase|Gladius Task Force|gladius-task-force|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ADAPTIVE STRATEGY|adaptive-strategy-gladius-task-force|Gladius Task Force – Strategic Ploy Stratagem|1|Your turn|Command phase|Gladius Task Force|gladius-task-force|<b>WHEN:</b> Your Command phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|SQUAD TACTICS|squad-tactics-gladius-task-force|Gladius Task Force – Strategic Ploy Stratagem|1|Opponent's turn|Movement phase|Gladius Task Force|gladius-task-force|<b>WHEN:</b> Opponent's Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ARMOUR OF CONTEMPT|armour-of-contempt-1st-company-task-force|Stormlance Task Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Stormlance Task Force|stormlance-task-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|BLITZING FUSILLADE|blitzing-fusillade-stormlance-task-force|Stormlance Task Force – Battle Tactic Stratagem|1|Your turn|Shooting phase|Stormlance Task Force|stormlance-task-force|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|SHOCK ASSAULT|shock-assault-stormlance-task-force|Stormlance Task Force – Battle Tactic Stratagem|1|Your turn|Charge phase|Stormlance Task Force|stormlance-task-force|<b>WHEN:</b> Your Charge phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|RIDE HARD, RIDE FAST|ride-hard-ride-fast-stormlance-task-force|Stormlance Task Force – Battle Tactic Stratagem|1|Opponent's turn|Shooting phase|Stormlance Task Force|stormlance-task-force|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|WIND-SWIFT EVASION|wind-swift-evasion-stormlance-task-force|Stormlance Task Force – Strategic Ploy Stratagem|1|Opponent's turn|Movement phase|Stormlance Task Force|stormlance-task-force|<b>WHEN:</b> Opponent's Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|FULL THROTTLE|full-throttle-stormlance-task-force|Stormlance Task Force – Wargear Stratagem|2|Your turn|Movement phase|Stormlance Task Force|stormlance-task-force|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ARMOUR OF CONTEMPT|armour-of-contempt-1st-company-task-force|Vanguard Spearhead – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Vanguard Spearhead|vanguard-spearhead|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|STRIKE FROM THE SHADOWS|strike-from-the-shadows-vanguard-spearhead|Vanguard Spearhead – Battle Tactic Stratagem|1|Your turn|Shooting phase|Vanguard Spearhead|vanguard-spearhead|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|SURGICAL STRIKES|surgical-strikes-vanguard-spearhead|Vanguard Spearhead – Battle Tactic Stratagem|2|Either player's turn|Fight phase|Vanguard Spearhead|vanguard-spearhead|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|CALCULATED FEINT|calculated-feint-vanguard-spearhead|Vanguard Spearhead – Strategic Ploy Stratagem|1|Opponent's turn|Charge phase|Vanguard Spearhead|vanguard-spearhead|<b>WHEN:</b> Opponent's Charge phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|GUERRILLA TACTICS|guerrilla-tactics-vanguard-spearhead|Vanguard Spearhead – Strategic Ploy Stratagem|1|Opponent's turn|Fight phase|Vanguard Spearhead|vanguard-spearhead|<b>WHEN:</b> Opponent's Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|A DEADLY PRIZE|a-deadly-prize-vanguard-spearhead|Vanguard Spearhead – Wargear Stratagem|1|Either player's turn|Command phase|Vanguard Spearhead|vanguard-spearhead|<b>WHEN:</b> Command phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|Suppression Strafing|suppression-strafing-orbital-assault-force|Orbital Assault Force – Strategic Ploy Stratagem|1|Either player's turn|Command phase|Orbital Assault Force|orbital-assault-force|<b>WHEN:</b> Command phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|Blind Screen|blind-screen-orbital-assault-force|Orbital Assault Force – Strategic Ploy Stratagem|1|Opponent's turn|Shooting phase|Orbital Assault Force|orbital-assault-force|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|Tactical Decapitation|tactical-decapitation-orbital-assault-force|Orbital Assault Force – Battle Tactic Stratagem|1|Your turn|Shooting or Fight phase|Orbital Assault Force|orbital-assault-force|<b>WHEN:</b> Your Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|Shock Onslaught|shock-onslaught-orbital-assault-force|Orbital Assault Force – Strategic Ploy Stratagem|1|Either player's turn|Fight phase|Orbital Assault Force|orbital-assault-force|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|Onward for the Emperor|onward-for-the-emperor-orbital-assault-force|Orbital Assault Force – Strategic Ploy Stratagem|1|Opponent's turn|Fight phase|Orbital Assault Force|orbital-assault-force|<b>WHEN:</b> Opponent's Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|BATTLE DRILL RECALL|battle-drill-recall-anvil-siege-force|Anvil Siege Force – Battle Tactic Stratagem|1|Your turn|Shooting phase|Anvil Siege Force|anvil-siege-force|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ARMOUR OF CONTEMPT|armour-of-contempt-1st-company-task-force|Anvil Siege Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Anvil Siege Force|anvil-siege-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|NO THREAT TOO GREAT|no-threat-too-great-anvil-siege-force|Anvil Siege Force – Battle Tactic Stratagem|2|Your turn|Shooting phase|Anvil Siege Force|anvil-siege-force|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|RIGID DISCIPLINE|rigid-discipline-anvil-siege-force|Anvil Siege Force – Strategic Ploy Stratagem|1|Either player's turn|Fight phase|Anvil Siege Force|anvil-siege-force|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|NOT ONE BACKWARDS STEP|not-one-backwards-step-anvil-siege-force|Anvil Siege Force – Strategic Ploy Stratagem|1|Your turn|Command phase|Anvil Siege Force|anvil-siege-force|<b>WHEN:</b> Your Command phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|HAIL OF VENGEANCE|hail-of-vengeance-anvil-siege-force|Anvil Siege Force – Strategic Ploy Stratagem|2|Opponent's turn|Shooting phase|Anvil Siege Force|anvil-siege-force|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ARMOUR OF CONTEMPT|armour-of-contempt-1st-company-task-force|Firestorm Assault Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Firestorm Assault Force|firestorm-assault-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|CRUCIBLE OF BATTLE|crucible-of-battle-firestorm-assault-force|Firestorm Assault Force – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Firestorm Assault Force|firestorm-assault-force|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|ONSLAUGHT OF FIRE|onslaught-of-fire-firestorm-assault-force|Firestorm Assault Force – Battle Tactic Stratagem|1|Your turn|Shooting phase|Firestorm Assault Force|firestorm-assault-force|<b>WHEN:</b> Your Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
SM|BURNING VENGEANCE|burning-vengeance-firestorm-assault-force|Firestorm Assault Force – Battle Tactic Stratagem|1|Opponent's turn|Shooting phase|Firestorm Assault Force|firestorm-assault-force|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
